south_1,south_2,north_1,north_2,east_1,east_2,west_1,west_2,datetime,intersection,day,day_name
41,43,47,47,42,47,55,55,2024-04-01 11:15:00,Yonge and Bloor,0,Monday
51,37,47,44,49,54,54,50,2024-04-01 11:30:00,Yonge and Bloor,0,Monday
49,48,40,50,54,50,52,55,2024-04-01 11:45:00,Yonge and Bloor,0,Monday
27,27,25,26,28,26,32,28,2024-04-01 12:00:00,Yonge and Bloor,0,Monday
28,26,27,26,28,31,27,27,2024-04-01 12:15:00,Yonge and Bloor,0,Monday
28,24,25,28,30,27,28,28,2024-04-01 12:30:00,Yonge and Bloor,0,Monday
25,26,28,27,30,26,29,29,2024-04-01 12:45:00,Yonge and Bloor,0,Monday
27,26,29,25,27,30,30,31,2024-04-01 13:00:00,Yonge and Bloor,0,Monday
25,27,28,27,31,27,31,27,2024-04-01 13:15:00,Yonge and Bloor,0,Monday
32,28,27,27,27,28,30,27,2024-04-01 13:30:00,Yonge and Bloor,0,Monday
26,27,28,27,27,28,27,30,2024-04-01 13:45:00,Yonge and Bloor,0,Monday
30,26,24,26,31,27,30,31,2024-04-01 14:00:00,Yonge and Bloor,0,Monday
27,27,24,25,28,29,32,31,2024-04-01 14:15:00,Yonge and Bloor,0,Monday
29,25,28,28,29,28,26,28,2024-04-01 14:30:00,Yonge and Bloor,0,Monday
24,28,28,28,30,26,32,29,2024-04-01 14:45:00,Yonge and Bloor,0,Monday
30,27,24,27,29,27,27,28,2024-04-01 15:00:00,Yonge and Bloor,0,Monday
24,24,27,25,27,26,29,31,2024-04-01 15:15:00,Yonge and Bloor,0,Monday
27,26,26,27,27,29,28,29,2024-04-01 15:30:00,Yonge and Bloor,0,Monday
27,24,28,28,28,27,29,28,2024-04-01 15:45:00,Yonge and Bloor,0,Monday
31,24,26,24,27,31,31,28,2024-04-01 16:00:00,Yonge and Bloor,0,Monday
27,26,26,27,31,29,26,29,2024-04-01 16:15:00,Yonge and Bloor,0,Monday
28,24,26,24,29,29,30,30,2024-04-01 16:30:00,Yonge and Bloor,0,Monday
27,28,27,26,29,31,26,30,2024-04-01 16:45:00,Yonge and Bloor,0,Monday
55,39,45,41,54,50,44,48,2024-04-01 17:00:00,Yonge and Bloor,0,Monday
49,45,50,49,56,43,41,52,2024-04-01 17:15:00,Yonge and Bloor,0,Monday
49,37,44,52,44,45,53,53,2024-04-01 17:30:00,Yonge and Bloor,0,Monday
36,52,39,40,40,39,57,47,2024-04-01 17:45:00,Yonge and Bloor,0,Monday
53,50,52,38,54,45,39,47,2024-04-01 18:00:00,Yonge and Bloor,0,Monday
54,47,56,38,44,42,57,41,2024-04-01 18:15:00,Yonge and Bloor,0,Monday
44,39,38,47,45,41,41,54,2024-04-01 18:30:00,Yonge and Bloor,0,Monday
42,49,43,48,55,44,38,49,2024-04-01 18:45:00,Yonge and Bloor,0,Monday
45,52,46,50,47,53,55,43,2024-04-01 19:00:00,Yonge and Bloor,0,Monday
40,40,36,42,56,38,43,44,2024-04-01 19:15:00,Yonge and Bloor,0,Monday
36,51,42,52,40,50,41,46,2024-04-01 19:30:00,Yonge and Bloor,0,Monday
46,44,48,39,43,49,50,56,2024-04-01 19:45:00,Yonge and Bloor,0,Monday
28,26,26,26,27,27,30,29,2024-04-01 20:00:00,Yonge and Bloor,0,Monday
25,26,25,28,29,27,28,27,2024-04-01 20:15:00,Yonge and Bloor,0,Monday
26,24,24,25,27,27,27,27,2024-04-01 20:30:00,Yonge and Bloor,0,Monday
26,28,29,24,27,28,30,28,2024-04-01 20:45:00,Yonge and Bloor,0,Monday
28,28,24,26,31,29,30,31,2024-04-01 21:00:00,Yonge and Bloor,0,Monday
27,26,27,24,27,32,30,28,2024-04-01 21:15:00,Yonge and Bloor,0,Monday
27,26,30,27,31,30,31,28,2024-04-01 21:30:00,Yonge and Bloor,0,Monday
24,27,26,28,27,26,30,27,2024-04-01 21:45:00,Yonge and Bloor,0,Monday
25,24,25,24,28,31,28,31,2024-04-01 22:00:00,Yonge and Bloor,0,Monday
26,27,31,24,30,28,27,29,2024-04-01 22:15:00,Yonge and Bloor,0,Monday
25,28,28,25,29,29,27,29,2024-04-01 22:30:00,Yonge and Bloor,0,Monday
24,28,27,27,28,26,28,28,2024-04-01 22:45:00,Yonge and Bloor,0,Monday
3,1,2,3,5,7,3,5,2024-04-01 23:00:00,Yonge and Bloor,0,Monday
3,4,2,2,4,3,5,5,2024-04-01 23:15:00,Yonge and Bloor,0,Monday
3,4,3,3,5,8,3,6,2024-04-01 23:30:00,Yonge and Bloor,0,Monday
8,3,6,4,6,3,7,5,2024-04-01 23:45:00,Yonge and Bloor,0,Monday
4,2,4,3,6,3,5,6,2024-04-02 00:00:00,Yonge and Bloor,1,Tuesday
3,4,3,2,5,3,8,7,2024-04-02 00:15:00,Yonge and Bloor,1,Tuesday
2,3,1,2,7,8,5,6,2024-04-02 00:30:00,Yonge and Bloor,1,Tuesday
2,1,3,4,6,3,4,4,2024-04-02 00:45:00,Yonge and Bloor,1,Tuesday
2,3,1,1,6,4,5,7,2024-04-02 01:00:00,Yonge and Bloor,1,Tuesday
4,2,2,4,4,9,5,5,2024-04-02 01:15:00,Yonge and Bloor,1,Tuesday
4,1,6,1,6,6,3,5,2024-04-02 01:30:00,Yonge and Bloor,1,Tuesday
3,4,4,1,7,3,6,5,2024-04-02 01:45:00,Yonge and Bloor,1,Tuesday
3,2,5,3,5,3,6,6,2024-04-02 02:00:00,Yonge and Bloor,1,Tuesday
3,1,2,4,5,5,4,7,2024-04-02 02:15:00,Yonge and Bloor,1,Tuesday
3,2,3,4,5,4,5,7,2024-04-02 02:30:00,Yonge and Bloor,1,Tuesday
2,1,2,3,7,3,6,7,2024-04-02 02:45:00,Yonge and Bloor,1,Tuesday
2,3,7,1,4,4,8,4,2024-04-02 03:00:00,Yonge and Bloor,1,Tuesday
1,4,1,1,7,5,6,6,2024-04-02 03:15:00,Yonge and Bloor,1,Tuesday
4,4,3,1,6,4,7,6,2024-04-02 03:30:00,Yonge and Bloor,1,Tuesday
2,3,4,2,6,6,7,4,2024-04-02 03:45:00,Yonge and Bloor,1,Tuesday
6,2,7,3,5,3,5,4,2024-04-02 04:00:00,Yonge and Bloor,1,Tuesday
3,4,1,1,4,6,3,5,2024-04-02 04:15:00,Yonge and Bloor,1,Tuesday
6,2,3,2,4,8,7,4,2024-04-02 04:30:00,Yonge and Bloor,1,Tuesday
4,2,4,2,6,3,6,5,2024-04-02 04:45:00,Yonge and Bloor,1,Tuesday
26,24,25,24,30,26,31,31,2024-04-02 05:00:00,Yonge and Bloor,1,Tuesday
28,28,30,26,29,29,29,30,2024-04-02 05:15:00,Yonge and Bloor,1,Tuesday
26,26,27,24,30,31,28,29,2024-04-02 05:30:00,Yonge and Bloor,1,Tuesday
25,25,24,28,29,29,29,29,2024-04-02 05:45:00,Yonge and Bloor,1,Tuesday
25,28,24,28,29,27,30,31,2024-04-02 06:00:00,Yonge and Bloor,1,Tuesday
27,25,25,26,28,26,30,31,2024-04-02 06:15:00,Yonge and Bloor,1,Tuesday
28,28,28,27,31,27,30,31,2024-04-02 06:30:00,Yonge and Bloor,1,Tuesday
30,25,31,26,29,33,27,28,2024-04-02 06:45:00,Yonge and Bloor,1,Tuesday
28,27,26,24,27,29,26,28,2024-04-02 07:00:00,Yonge and Bloor,1,Tuesday
24,27,24,25,29,29,30,31,2024-04-02 07:15:00,Yonge and Bloor,1,Tuesday
24,27,27,27,30,32,30,27,2024-04-02 07:30:00,Yonge and Bloor,1,Tuesday
26,28,30,25,30,27,29,31,2024-04-02 07:45:00,Yonge and Bloor,1,Tuesday
39,41,41,40,42,45,43,44,2024-04-02 08:00:00,Yonge and Bloor,1,Tuesday
41,40,40,41,44,45,42,42,2024-04-02 08:15:00,Yonge and Bloor,1,Tuesday
40,41,39,39,44,45,43,44,2024-04-02 08:30:00,Yonge and Bloor,1,Tuesday
43,39,40,41,43,44,43,42,2024-04-02 08:45:00,Yonge and Bloor,1,Tuesday
47,45,46,51,39,51,42,45,2024-04-02 09:00:00,Yonge and Bloor,1,Tuesday
51,40,47,39,42,48,43,41,2024-04-02 09:15:00,Yonge and Bloor,1,Tuesday
39,43,39,37,53,55,46,56,2024-04-02 09:30:00,Yonge and Bloor,1,Tuesday
51,49,46,45,43,49,50,48,2024-04-02 09:45:00,Yonge and Bloor,1,Tuesday
50,50,40,53,45,39,49,48,2024-04-02 10:00:00,Yonge and Bloor,1,Tuesday
47,51,47,38,45,40,43,53,2024-04-02 10:15:00,Yonge and Bloor,1,Tuesday
52,41,43,50,56,55,39,43,2024-04-02 10:30:00,Yonge and Bloor,1,Tuesday
42,49,44,46,40,55,47,55,2024-04-02 10:45:00,Yonge and Bloor,1,Tuesday
43,36,47,47,42,51,40,50,2024-04-02 11:00:00,Yonge and Bloor,1,Tuesday
45,42,53,42,51,47,44,53,2024-04-02 11:15:00,Yonge and Bloor,1,Tuesday
46,39,48,51,55,43,51,55,2024-04-02 11:30:00,Yonge and Bloor,1,Tuesday
37,51,39,47,54,51,49,43,2024-04-02 11:45:00,Yonge and Bloor,1,Tuesday
26,26,28,24,29,29,29,29,2024-04-02 12:00:00,Yonge and Bloor,1,Tuesday
25,27,28,24,27,26,26,29,2024-04-02 12:15:00,Yonge and Bloor,1,Tuesday
30,28,27,24,28,32,29,28,2024-04-02 12:30:00,Yonge and Bloor,1,Tuesday
28,27,29,27,27,30,27,29,2024-04-02 12:45:00,Yonge and Bloor,1,Tuesday
26,28,24,26,31,31,32,30,2024-04-02 13:00:00,Yonge and Bloor,1,Tuesday
27,27,27,25,27,27,29,28,2024-04-02 13:15:00,Yonge and Bloor,1,Tuesday
28,28,26,24,27,26,28,31,2024-04-02 13:30:00,Yonge and Bloor,1,Tuesday
27,25,25,28,31,28,30,28,2024-04-02 13:45:00,Yonge and Bloor,1,Tuesday
27,26,25,24,30,29,27,31,2024-04-02 14:00:00,Yonge and Bloor,1,Tuesday
27,28,24,25,27,29,28,29,2024-04-02 14:15:00,Yonge and Bloor,1,Tuesday
26,24,28,27,31,28,30,28,2024-04-02 14:30:00,Yonge and Bloor,1,Tuesday
24,26,28,24,28,28,29,30,2024-04-02 14:45:00,Yonge and Bloor,1,Tuesday
29,28,28,27,31,29,29,29,2024-04-02 15:00:00,Yonge and Bloor,1,Tuesday
30,28,27,26,31,28,26,28,2024-04-02 15:15:00,Yonge and Bloor,1,Tuesday
26,24,25,24,28,28,28,30,2024-04-02 15:30:00,Yonge and Bloor,1,Tuesday
28,27,25,25,31,28,29,28,2024-04-02 15:45:00,Yonge and Bloor,1,Tuesday
27,25,25,28,27,32,27,30,2024-04-02 16:00:00,Yonge and Bloor,1,Tuesday
24,28,27,25,31,29,27,30,2024-04-02 16:15:00,Yonge and Bloor,1,Tuesday
24,25,27,24,31,29,27,27,2024-04-02 16:30:00,Yonge and Bloor,1,Tuesday
25,25,26,26,27,30,30,31,2024-04-02 16:45:00,Yonge and Bloor,1,Tuesday
44,38,39,40,52,49,52,52,2024-04-02 17:00:00,Yonge and Bloor,1,Tuesday
57,39,44,43,40,51,46,46,2024-04-02 17:15:00,Yonge and Bloor,1,Tuesday
45,47,52,37,40,41,47,41,2024-04-02 17:30:00,Yonge and Bloor,1,Tuesday
51,41,45,36,40,52,40,55,2024-04-02 17:45:00,Yonge and Bloor,1,Tuesday
38,37,43,38,50,48,55,40,2024-04-02 18:00:00,Yonge and Bloor,1,Tuesday
44,36,47,47,47,48,38,48,2024-04-02 18:15:00,Yonge and Bloor,1,Tuesday
47,51,41,42,55,42,50,45,2024-04-02 18:30:00,Yonge and Bloor,1,Tuesday
40,50,44,43,52,38,48,56,2024-04-02 18:45:00,Yonge and Bloor,1,Tuesday
53,49,41,40,49,43,55,44,2024-04-02 19:00:00,Yonge and Bloor,1,Tuesday
37,38,54,44,46,49,52,52,2024-04-02 19:15:00,Yonge and Bloor,1,Tuesday
39,36,51,51,39,46,55,50,2024-04-02 19:30:00,Yonge and Bloor,1,Tuesday
44,37,44,41,46,47,49,47,2024-04-02 19:45:00,Yonge and Bloor,1,Tuesday
26,24,26,27,31,27,30,27,2024-04-02 20:00:00,Yonge and Bloor,1,Tuesday
28,28,25,26,30,30,32,31,2024-04-02 20:15:00,Yonge and Bloor,1,Tuesday
27,27,25,27,31,29,31,27,2024-04-02 20:30:00,Yonge and Bloor,1,Tuesday
27,26,26,28,29,29,30,28,2024-04-02 20:45:00,Yonge and Bloor,1,Tuesday
27,28,26,28,27,26,30,27,2024-04-02 21:00:00,Yonge and Bloor,1,Tuesday
32,26,27,26,29,26,27,28,2024-04-02 21:15:00,Yonge and Bloor,1,Tuesday
26,27,27,27,27,27,28,31,2024-04-02 21:30:00,Yonge and Bloor,1,Tuesday
28,26,24,26,28,30,30,28,2024-04-02 21:45:00,Yonge and Bloor,1,Tuesday
25,27,29,24,28,26,31,28,2024-04-02 22:00:00,Yonge and Bloor,1,Tuesday
31,25,27,27,27,26,27,30,2024-04-02 22:15:00,Yonge and Bloor,1,Tuesday
26,24,27,24,28,30,27,29,2024-04-02 22:30:00,Yonge and Bloor,1,Tuesday
26,27,28,28,29,31,27,31,2024-04-02 22:45:00,Yonge and Bloor,1,Tuesday
3,4,3,2,6,4,6,4,2024-04-02 23:00:00,Yonge and Bloor,1,Tuesday
2,4,1,4,6,6,3,7,2024-04-02 23:15:00,Yonge and Bloor,1,Tuesday
3,1,3,4,6,6,5,7,2024-04-02 23:30:00,Yonge and Bloor,1,Tuesday
2,2,1,3,7,4,5,7,2024-04-02 23:45:00,Yonge and Bloor,1,Tuesday
3,4,6,4,6,3,4,6,2024-04-03 00:00:00,Yonge and Bloor,2,Wednesday
3,4,4,4,4,4,7,6,2024-04-03 00:15:00,Yonge and Bloor,2,Wednesday
4,3,4,2,7,3,6,7,2024-04-03 00:30:00,Yonge and Bloor,2,Wednesday
4,4,4,3,6,8,5,7,2024-04-03 00:45:00,Yonge and Bloor,2,Wednesday
3,1,6,4,5,4,5,5,2024-04-03 01:00:00,Yonge and Bloor,2,Wednesday
1,3,3,3,6,3,4,5,2024-04-03 01:15:00,Yonge and Bloor,2,Wednesday
2,2,3,1,7,4,6,4,2024-04-03 01:30:00,Yonge and Bloor,2,Wednesday
2,3,2,2,7,5,5,4,2024-04-03 01:45:00,Yonge and Bloor,2,Wednesday
1,4,1,2,5,6,8,6,2024-04-03 02:00:00,Yonge and Bloor,2,Wednesday
3,2,3,1,7,9,7,6,2024-04-03 02:15:00,Yonge and Bloor,2,Wednesday
2,4,4,4,6,5,5,6,2024-04-03 02:30:00,Yonge and Bloor,2,Wednesday
3,3,2,2,7,7,3,5,2024-04-03 02:45:00,Yonge and Bloor,2,Wednesday
3,1,3,2,6,3,6,4,2024-04-03 03:00:00,Yonge and Bloor,2,Wednesday
3,4,3,4,4,5,7,5,2024-04-03 03:15:00,Yonge and Bloor,2,Wednesday
2,4,1,1,4,9,8,4,2024-04-03 03:30:00,Yonge and Bloor,2,Wednesday
2,2,4,3,6,5,3,6,2024-04-03 03:45:00,Yonge and Bloor,2,Wednesday
3,3,5,1,7,5,4,6,2024-04-03 04:00:00,Yonge and Bloor,2,Wednesday
2,2,6,3,4,6,6,7,2024-04-03 04:15:00,Yonge and Bloor,2,Wednesday
3,4,6,4,5,3,4,4,2024-04-03 04:30:00,Yonge and Bloor,2,Wednesday
2,1,4,2,4,4,5,5,2024-04-03 04:45:00,Yonge and Bloor,2,Wednesday
24,25,24,24,29,33,30,28,2024-04-03 05:00:00,Yonge and Bloor,2,Wednesday
29,26,25,26,30,30,26,27,2024-04-03 05:15:00,Yonge and Bloor,2,Wednesday
24,25,26,26,27,30,30,29,2024-04-03 05:30:00,Yonge and Bloor,2,Wednesday
26,25,27,25,28,29,27,27,2024-04-03 05:45:00,Yonge and Bloor,2,Wednesday
25,24,27,27,27,28,32,30,2024-04-03 06:00:00,Yonge and Bloor,2,Wednesday
28,28,27,27,27,30,30,28,2024-04-03 06:15:00,Yonge and Bloor,2,Wednesday
28,24,24,24,30,27,28,30,2024-04-03 06:30:00,Yonge and Bloor,2,Wednesday
25,26,28,27,31,29,29,28,2024-04-03 06:45:00,Yonge and Bloor,2,Wednesday
24,25,30,26,27,26,27,28,2024-04-03 07:00:00,Yonge and Bloor,2,Wednesday
29,24,25,28,28,27,28,28,2024-04-03 07:15:00,Yonge and Bloor,2,Wednesday
25,25,26,24,27,32,26,27,2024-04-03 07:30:00,Yonge and Bloor,2,Wednesday
28,28,26,26,30,29,26,27,2024-04-03 07:45:00,Yonge and Bloor,2,Wednesday
40,39,41,41,42,43,41,42,2024-04-03 08:00:00,Yonge and Bloor,2,Wednesday
40,39,42,39,43,45,43,44,2024-04-03 08:15:00,Yonge and Bloor,2,Wednesday
41,40,42,41,44,44,41,44,2024-04-03 08:30:00,Yonge and Bloor,2,Wednesday
45,39,44,41,42,45,42,44,2024-04-03 08:45:00,Yonge and Bloor,2,Wednesday
42,45,41,52,51,52,40,42,2024-04-03 09:00:00,Yonge and Bloor,2,Wednesday
49,38,53,50,53,45,46,40,2024-04-03 09:15:00,Yonge and Bloor,2,Wednesday
47,43,49,52,54,41,41,47,2024-04-03 09:30:00,Yonge and Bloor,2,Wednesday
44,43,52,36,53,56,41,45,2024-04-03 09:45:00,Yonge and Bloor,2,Wednesday
41,37,44,46,52,47,54,47,2024-04-03 10:00:00,Yonge and Bloor,2,Wednesday
37,41,49,48,53,45,45,47,2024-04-03 10:15:00,Yonge and Bloor,2,Wednesday
51,48,40,52,50,52,50,40,2024-04-03 10:30:00,Yonge and Bloor,2,Wednesday
49,41,47,42,44,52,45,42,2024-04-03 10:45:00,Yonge and Bloor,2,Wednesday
40,37,40,41,47,43,40,41,2024-04-03 11:00:00,Yonge and Bloor,2,Wednesday
51,41,44,49,52,51,50,54,2024-04-03 11:15:00,Yonge and Bloor,2,Wednesday
39,38,38,39,44,40,55,51,2024-04-03 11:30:00,Yonge and Bloor,2,Wednesday
52,46,48,41,42,43,54,48,2024-04-03 11:45:00,Yonge and Bloor,2,Wednesday
26,27,27,26,30,28,30,27,2024-04-03 12:00:00,Yonge and Bloor,2,Wednesday
24,27,27,24,27,31,26,30,2024-04-03 12:15:00,Yonge and Bloor,2,Wednesday
31,26,24,27,31,29,30,28,2024-04-03 12:30:00,Yonge and Bloor,2,Wednesday
26,26,31,27,29,27,29,30,2024-04-03 12:45:00,Yonge and Bloor,2,Wednesday
24,28,26,26,27,29,30,29,2024-04-03 13:00:00,Yonge and Bloor,2,Wednesday
24,27,29,28,29,29,29,28,2024-04-03 13:15:00,Yonge and Bloor,2,Wednesday
28,28,26,24,30,29,32,29,2024-04-03 13:30:00,Yonge and Bloor,2,Wednesday
26,28,27,25,27,33,26,27,2024-04-03 13:45:00,Yonge and Bloor,2,Wednesday
24,26,30,28,29,26,30,28,2024-04-03 14:00:00,Yonge and Bloor,2,Wednesday
26,28,24,28,30,30,29,29,2024-04-03 14:15:00,Yonge and Bloor,2,Wednesday
24,26,24,24,27,29,32,30,2024-04-03 14:30:00,Yonge and Bloor,2,Wednesday
32,28,28,27,28,28,32,30,2024-04-03 14:45:00,Yonge and Bloor,2,Wednesday
32,26,28,27,29,31,28,30,2024-04-03 15:00:00,Yonge and Bloor,2,Wednesday
26,26,24,27,30,30,29,27,2024-04-03 15:15:00,Yonge and Bloor,2,Wednesday
25,25,27,28,31,29,32,31,2024-04-03 15:30:00,Yonge and Bloor,2,Wednesday
30,25,24,27,28,29,30,27,2024-04-03 15:45:00,Yonge and Bloor,2,Wednesday
26,24,26,24,29,31,26,28,2024-04-03 16:00:00,Yonge and Bloor,2,Wednesday
26,28,26,26,31,27,29,29,2024-04-03 16:15:00,Yonge and Bloor,2,Wednesday
28,26,27,25,28,30,32,27,2024-04-03 16:30:00,Yonge and Bloor,2,Wednesday
24,25,30,26,29,27,29,27,2024-04-03 16:45:00,Yonge and Bloor,2,Wednesday
49,52,38,36,55,52,44,49,2024-04-03 17:00:00,Yonge and Bloor,2,Wednesday
38,43,51,36,56,49,44,45,2024-04-03 17:15:00,Yonge and Bloor,2,Wednesday
43,45,56,50,56,46,43,39,2024-04-03 17:30:00,Yonge and Bloor,2,Wednesday
42,51,46,41,50,46,54,46,2024-04-03 17:45:00,Yonge and Bloor,2,Wednesday
48,53,45,49,48,42,54,39,2024-04-03 18:00:00,Yonge and Bloor,2,Wednesday
47,51,52,36,42,50,38,53,2024-04-03 18:15:00,Yonge and Bloor,2,Wednesday
48,44,49,39,42,38,40,40,2024-04-03 18:30:00,Yonge and Bloor,2,Wednesday
50,47,47,36,56,39,53,55,2024-04-03 18:45:00,Yonge and Bloor,2,Wednesday
50,51,51,52,48,54,48,47,2024-04-03 19:00:00,Yonge and Bloor,2,Wednesday
53,49,39,41,46,43,40,46,2024-04-03 19:15:00,Yonge and Bloor,2,Wednesday
36,44,41,47,56,42,54,46,2024-04-03 19:30:00,Yonge and Bloor,2,Wednesday
37,48,54,40,56,48,44,45,2024-04-03 19:45:00,Yonge and Bloor,2,Wednesday
26,25,26,27,30,30,27,31,2024-04-03 20:00:00,Yonge and Bloor,2,Wednesday
31,24,27,24,28,27,29,27,2024-04-03 20:15:00,Yonge and Bloor,2,Wednesday
24,25,27,27,28,28,29,27,2024-04-03 20:30:00,Yonge and Bloor,2,Wednesday
25,24,28,28,27,31,32,31,2024-04-03 20:45:00,Yonge and Bloor,2,Wednesday
27,24,25,28,27,28,27,30,2024-04-03 21:00:00,Yonge and Bloor,2,Wednesday
28,25,30,27,30,29,29,27,2024-04-03 21:15:00,Yonge and Bloor,2,Wednesday
24,25,26,25,28,28,29,28,2024-04-03 21:30:00,Yonge and Bloor,2,Wednesday
28,24,24,26,29,29,28,27,2024-04-03 21:45:00,Yonge and Bloor,2,Wednesday
26,25,25,25,28,26,27,30,2024-04-03 22:00:00,Yonge and Bloor,2,Wednesday
27,27,24,25,28,30,30,31,2024-04-03 22:15:00,Yonge and Bloor,2,Wednesday
27,25,26,25,29,26,27,30,2024-04-03 22:30:00,Yonge and Bloor,2,Wednesday
26,26,24,26,29,32,28,28,2024-04-03 22:45:00,Yonge and Bloor,2,Wednesday
3,4,1,3,6,4,4,5,2024-04-03 23:00:00,Yonge and Bloor,2,Wednesday
1,3,2,1,4,3,6,7,2024-04-03 23:15:00,Yonge and Bloor,2,Wednesday
2,3,3,4,4,4,5,4,2024-04-03 23:30:00,Yonge and Bloor,2,Wednesday
2,4,7,3,4,5,3,7,2024-04-03 23:45:00,Yonge and Bloor,2,Wednesday
2,4,4,4,7,4,5,5,2024-04-04 00:00:00,Yonge and Bloor,3,Thursday
6,3,4,1,4,3,5,4,2024-04-04 00:15:00,Yonge and Bloor,3,Thursday
1,1,7,4,4,5,6,4,2024-04-04 00:30:00,Yonge and Bloor,3,Thursday
2,2,1,1,6,3,8,5,2024-04-04 00:45:00,Yonge and Bloor,3,Thursday
2,2,2,4,6,8,3,5,2024-04-04 01:00:00,Yonge and Bloor,3,Thursday
3,1,1,2,5,5,4,4,2024-04-04 01:15:00,Yonge and Bloor,3,Thursday
4,3,4,4,7,4,4,4,2024-04-04 01:30:00,Yonge and Bloor,3,Thursday
1,4,4,1,4,3,3,7,2024-04-04 01:45:00,Yonge and Bloor,3,Thursday
5,4,2,4,4,8,5,6,2024-04-04 02:00:00,Yonge and Bloor,3,Thursday
3,1,2,4,6,3,3,6,2024-04-04 02:15:00,Yonge and Bloor,3,Thursday
1,4,3,4,5,4,6,6,2024-04-04 02:30:00,Yonge and Bloor,3,Thursday
3,1,4,1,7,5,4,6,2024-04-04 02:45:00,Yonge and Bloor,3,Thursday
